Date,Short Volume,Total Volume
2012-11-05,44521.0,110539.0
2012-11-06,25125.0,86084.0
2012-11-07,39816.0,121826.0
2012-11-08,55295.0,121814.0
2012-11-09,29039.0,62155.0
2012-11-12,11023.0,18623.0
2012-11-13,32183.0,51973.0
2012-11-14,26048.0,41222.0
2012-11-15,32116.0,53789.0
2012-11-16,31333.0,55518.0
2012-11-19,35927.0,73571.0
2012-11-20,26448.0,51179.0
2012-11-21,33875.0,63305.0
2012-11-23,11114.0,29214.0
2012-11-26,8573.0,22173.0
2012-11-27,17145.0,53319.0
2012-11-28,59488.0,132993.0
2012-11-29,58084.0,128368.0
2012-11-30,51150.0,114762.0
2012-12-03,77797.0,148161.0
2012-12-04,43005.0,79788.0
2012-12-05,23978.0,40186.0
2012-12-06,20072.0,38527.0
2012-12-07,21149.0,41271.0
2012-12-10,23750.0,43971.0
2012-12-11,40747.0,73013.0
2012-12-12,30262.0,89374.0
2012-12-13,57740.0,155536.0
2012-12-14,27023.0,57126.0
2012-12-17,25758.0,41388.0
2012-12-18,22470.0,58732.0
2012-12-19,19893.0,55067.0
2012-12-20,15842.0,55650.0
2012-12-21,18084.0,55296.0
2012-12-24,5900.0,21134.0
2012-12-26,14400.0,36108.0
2012-12-27,10688.0,31434.0
2012-12-28,17107.0,25639.0
2012-12-31,19416.0,41176.0
2013-01-02,30231.0,89748.0
2013-01-03,17015.0,57828.0
2013-01-04,13711.0,38268.0
2013-01-07,6954.0,28693.0
2013-01-08,37406.0,106338.0
2013-01-09,16449.0,49099.0
2013-01-10,17384.0,63231.0
2013-01-11,33586.0,120792.0
2013-01-14,44146.0,100527.0
2013-01-15,37315.0,105442.0
2013-01-16,67728.0,153325.0
2013-01-17,66761.0,136798.0
2013-01-18,206522.0,276047.0
2013-01-22,58862.0,137365.0
2013-01-23,45359.0,125926.0
2013-01-24,53598.0,118288.0
2013-01-25,42959.0,91451.0
2013-01-28,93728.0,164924.0
2013-01-29,87193.0,126470.0
2013-01-30,31438.0,52482.0
2013-01-31,32233.0,47271.0
2013-02-01,31839.0,52188.0
2013-02-04,48527.0,73288.0
2013-02-05,123896.0,162477.0
2013-02-06,132060.0,186418.0
2013-02-07,65890.0,98270.0
2013-02-08,40337.0,64397.0
2013-02-11,135932.0,314206.0
2013-02-12,59231.0,123227.0
2013-02-13,39304.0,59095.0
2013-02-14,39456.0,62922.0
2013-02-15,48550.0,113366.0
2013-02-19,101516.0,173271.0
2013-02-20,117962.0,169969.0
2013-02-21,283327.0,533267.0
2013-02-22,60535.0,123182.0
2013-02-25,125537.0,225946.0
2013-02-26,38000.0,123207.0
2013-02-27,86257.0,164593.0
2013-02-28,60128.0,105200.0
2013-03-01,39190.0,105734.0
2013-03-04,63449.0,179116.0
2013-03-05,29432.0,71180.0
2013-03-06,41078.0,66599.0
2013-03-07,50655.0,82870.0
2013-03-08,47146.0,92383.0
2013-03-11,42447.0,113634.0
2013-03-12,23576.0,90564.0
2013-03-13,35784.0,58889.0
2013-03-14,51347.0,138132.0
2013-03-15,64521.0,182974.0
2013-03-18,43550.0,88029.0
2013-03-19,39412.0,91677.0
2013-03-20,36261.0,104413.0
2013-03-21,37904.0,89450.0
2013-03-22,11273.0,26576.0
2013-03-25,75545.0,185950.0
2013-03-26,25750.0,116047.0
2013-03-27,22570.0,106159.0
2013-03-28,22566.0,59192.0
2013-04-01,429801.0,920507.0
2013-04-02,107121.0,311975.0
2013-04-03,164139.0,431235.0
2013-04-04,78978.0,176613.0
2013-04-05,64169.0,128101.0
2013-04-08,55164.0,109755.0
2013-04-09,44957.0,104696.0
2013-04-10,57311.0,169901.0
2013-04-11,169330.0,305282.0
2013-04-12,110229.0,207239.0
2013-04-15,68274.0,159101.0
2013-04-16,128083.0,229190.0
2013-04-17,34914.0,133856.0
2013-04-18,61097.0,158001.0
2013-04-19,99532.0,212040.0
2013-04-22,142382.0,341541.0
2013-04-23,76467.0,295398.0
2013-04-24,38367.0,174890.0
2013-04-25,55207.0,183235.0
2013-04-26,93448.0,261259.0
2013-04-29,157311.0,372964.0
2013-04-30,138780.0,372708.0
2013-05-01,48805.0,127388.0
2013-05-02,110127.0,211088.0
2013-05-03,63737.0,158599.0
2013-05-06,88629.0,220253.0
2013-05-07,154647.0,476770.0
2013-05-08,87543.0,297074.0
2013-05-09,884342.0,2133226.0
2013-05-10,786277.0,1771590.0
2013-05-13,528348.0,1023620.0
2013-05-14,994860.0,1861194.0
2013-05-15,395938.0,851597.0
2013-05-16,649265.0,1070137.0
2013-05-17,662768.0,1284035.0
2013-05-20,422090.0,704537.0
2013-05-21,206829.0,472006.0
2013-05-22,217284.0,442409.0
2013-05-23,645067.0,965336.0
2013-05-24,611690.0,1111080.0
2013-05-28,570249.0,1023023.0
2013-05-29,712344.0,1385622.0
2013-05-30,554197.0,941998.0
2013-05-31,550064.0,903965.0
2013-06-03,688790.0,1233964.0
2013-06-04,293355.0,546081.0
2013-06-05,351174.0,651143.0
2013-06-06,479160.0,716663.0
2013-06-07,468690.0,763946.0
2013-06-10,367042.0,624749.0
2013-06-11,287440.0,505219.0
2013-06-12,306305.0,521907.0
2013-06-13,230758.0,339716.0
2013-06-14,158611.0,323838.0
2013-06-17,445116.0,636324.0
2013-06-18,843187.0,1035071.0
2013-06-19,385334.0,675159.0
2013-06-20,462328.0,789139.0
2013-06-21,386514.0,717950.0
2013-06-24,334317.0,465474.0
2013-06-25,297009.0,497878.0
2013-06-26,378405.0,544234.0
2013-06-27,388197.0,572857.0
2013-06-28,211682.0,387301.0
2013-07-01,359138.0,668504.0
2013-07-02,416550.0,690340.0
2013-07-03,167134.0,277274.0
2013-07-05,222445.0,331060.0
2013-07-08,247563.0,403955.0
2013-07-09,210210.0,384733.0
2013-07-10,231486.0,397034.0
2013-07-11,252053.0,427355.0
2013-07-12,343991.0,580046.0
2013-07-15,223477.0,364451.0
2013-07-16,757827.0,1934875.0
2013-07-17,929965.0,1482213.0
2013-07-18,365081.0,562205.0
2013-07-19,226355.0,332991.0
2013-07-22,318863.0,493906.0
2013-07-23,414236.0,610641.0
2013-07-24,295413.0,582704.0
2013-07-25,264319.0,400174.0
2013-07-26,345183.0,600696.0
2013-07-29,321515.0,584678.0
2013-07-30,283422.0,528167.0
2013-07-31,149107.0,218852.0
2013-08-01,134968.0,255815.0
2013-08-02,207141.0,295229.0
2013-08-05,292545.0,432197.0
2013-08-06,235016.0,369628.0
2013-08-07,325317.0,606908.0
2013-08-08,634187.0,1110078.0
2013-08-09,259647.0,429201.0
2013-08-12,405950.0,627126.0
2013-08-13,226890.0,350962.0
2013-08-14,291124.0,498173.0
2013-08-15,286404.0,512391.0
2013-08-16,154268.0,274591.0
2013-08-19,169400.0,284565.0
2013-08-20,162470.0,242719.0
2013-08-21,163368.0,276116.0
2013-08-22,358416.0,568469.0
2013-08-23,360201.0,589305.0
2013-08-26,700033.0,1143003.0
2013-08-27,446286.0,646094.0
